TIMESTAMP;ANGLE;ROTATION_VELOCITY;HOOK_LEVEL;LOAD;TROLLEY_RADIUS;WINDSPEED
0;351.4;0;11.08;0.7;10.34;4
1015;351.4;0;11.08;0.7;10.34;4.3
